"postcode","organisation_code","name","national_grouping","high_level_health_geography","address_line_1","address_line_2","address_line_3","address_line_4","address_line_5","open_date","close_date","status_code","organisation_sub_type_code","commissioner","join_provider_purchaser_date","left_provider_purchaser_date","contact_telephone_number","null_4","null_5","null_6","amended_record_indicator","null_7","provider_purchaser","null_8","prescribing_setting","null_10","pcd2","dointr","doterm","oseast100m","osnrth100m","oscty","odslaua","oslaua","osward","usertype","osgrdind","ctry","oshlthau","rgn","oldha","nhser","ccg","psed","cened","edind","ward98","oa01","nhsrlo","hro","lsoa01","ur01ind","msoa01","cannet","scn","oshaprev","oldpct","oldhro","pcon","canreg","pct","oseast1m","osnrth1m","oa11","lsoa11","msoa11","calncv","stp","geom"
"BB1 2FD","Y05073","W HANTS SW COMM DERM SERVICE","Y59","Q87","FUSION HOUSE,EVOLUTION PK","HASLINGDEN ROAD","BLACKBURN","","","20150623",,"A","B","11A","20150623",,"01250 282930",,,,"0",,"11A",,"9",,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
"BB1 2FD","Y04896","CSRPRESTON COMMUNITY DERMATOLOGY SERVICE","Y62","Q84","INNOVATION CENTRE","HASLINGDEN ROAD","BLACKBURN","LANCASHIRE","","20150201",,"A","B","00Q","20150201",,"01254 282940",,,,"0",,"NPR",,"9",,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
"BB1 2FD","Y04219","ABOUT HEALTH","Y62","Q84","FUSION HSE,EVOLUTION PARK","HASLINGDON ROAD","BLACKBURN","","","20130628",,"A","B","00Q","20190401",,"01254 282930",,,,"0",,"NPR",,"0",,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
"BB1 2FD","Y00209","ABOUT HEALTH LTD","Y62","Q84","FUSION HOUSE","HASLINGDEN ROAD","BLACKBURN","LANCASHIRE","","20031001",,"A","B","01A","20130401",,"01254 282940",,,,"0",,"01A",,"9",,"BB1  2FD","200801",,"3700","4264","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFQ13","LSFQ13","1","00EXMQ","E00063670","Q84","Y51","E01012632","5","E02002625","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370045","426411","E00171893","E01012632","E02002625","E56000018","E54000048","0101000020E6100000959950D1F7A403C088F54F41DADD4A40"
"BB1 2HR","P81734","THE CORNERSTONE PRACTICE","Y62","Q84","THE CORNERSTONE PRACTICE","SHADSWORTH SURGERY","SHADSWORTH ROAD","BLACKBURN","","19880704",,"A","B","00Q","20130401",,"01254 618018",,,,"0",,"00Q",,"4",,"BB1  2HR","198001",,"3702","4270","E99999999","324","E06000008","E05011513","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFS09","LSFS09","1","00EXMS","E00063704","Q84","Y51","E01012638","5","E02002622","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","370257","427073","E00063704","E01012638","E02002622","E56000018","E54000048","0101000020E610000025C6008A849E03C0647EDF9E9DDE4A40"
"BB1 4LA","P81755","THE WEAVERS PRACTICE","Y62","Q84","HIGH STREET","RISHTON","BLACKBURN","LANCASHIRE","","19920808",,"A","B","01A","20130401",,"01254 884217",,,,"0",,"01A",,"4",,"BB1  4LA","198001",,"3727","4303","E10000017","323","E07000120","E05005218","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UGFM03","LYFM03","1","30UGFM","E00127247","Q84","Y51","E01025072","6","E02005214","N01","N51","Q13","5G7","Y42","E14000758","Y1701","5NH","372795","430313","E00127247","E01025072","E02005214","E56000018","E54000048","0101000020E61000008C2237034E5003C00151EF655CE24A40"
"BB1 4LA","P81738","GREAT HARWOOD SURGERY","Y62","Q84","GREAT HARWOOD & RISHTON","32 HIGH STREET","RISHTON","LANCASHIRE","","19890424",,"A","B","01A","20130401",,"01254 617590",,,,"1",,"01A",,"4",,"BB1  4LA","198001",,"3727","4303","E10000017","323","E07000120","E05005218","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UGFM03","LYFM03","1","30UGFM","E00127247","Q84","Y51","E01025072","6","E02005214","N01","N51","Q13","5G7","Y42","E14000758","Y1701","5NH","372795","430313","E00127247","E01025072","E02005214","E56000018","E54000048","0101000020E61000008C2237034E5003C00151EF655CE24A40"
"BB1 4LD","P81677","HIGH STREET SURGERY","Y54","Q73","87-89 HIGH STREET","RISHTON","BLACKBURN","LANCASHIRE","","19740401","20151231","C","B","01A","20130401","20151231","01254 884424",,,,"0",,"01A",,"0",,"BB1  4LD","198001",,"3725","4302","E10000017","323","E07000120","E05005218","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UGFG03","LYFG03","1","30UGFG","E00127257","Q84","Y51","E01025073","6","E02005214","N01","N51","Q13","5G7","Y42","E14000758","Y1701","5NH","372585","430256","E00127257","E01025073","E02005214","E56000018","E54000048","0101000020E6100000DE914FA6D15603C09AF2AF3F4BE24A40"
"BB1 5ER","P81771","DR RC RAUTRAY'S PRACTICE","Y62","Q84","PRIMROSE BANK MED/CTR","LARKHILL","BLACKBURN","LANCASHIRE","","19970401",,"A","B","00Q","20130401",,"01254 672132",,,,"0",,"00Q",,"4",,"BB1  5ER","199912",,"3687","4285","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE03","LSFE03","1","00EXMB","E00063730","Q84","Y51","E01012643","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368742","428569","E00063730","E01012643","E02002620","E56000018","E54000048","0101000020E6100000D08605BFDDCD03C0FC42E94A53E04A40"
"BB1 6AR","Y02151","NHS BWD SUBSTANCE MISUSE SERVICE","Y62","Q84","ST JOHNS COURT","AINSWORTH STREET","BLACKBURN","LANCASHIRE","","20080101",,"A","B","00Q","20130801",,"01254 495014",,,,"0",,"00Q",,"8",,"BB1  6AR","200405",,"3683","4283","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC11","LSFC11","1","00EXMT","E00063733","Q84","Y51","E01012643","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368375","428361","E00063733","E01012643","E02002620","E56000018","E54000048","0101000020E6100000E3859E7738D903C0D5DD7E4E15E04A40"
"BB1 6DY","P81643","BROOKHOUSE MEDICAL CENTRE","Y62","Q84","BANGOR STREET HEALTH CTR","BANGOR STREET","BLACKBURN","LANCASHIRE","","19740401","20190731","C","B","00Q","20130401","20190731","01254 287130",,,,"0",,"00Q",,"4",,"BB1  6DY","199507",,"3687","4290","E99999999","324","E06000008","E05011509","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC05","LSFC05","1","00EXMB","E00063428","Q84","Y51","E01012580","5","E02002618","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368714","429098","E00063428","E01012580","E02002618","E56000018","E54000048","0101000020E6100000A9995F90D8CE03C098946308EFE04A40"
"BB1 6DY","P81622","SHIFA SURGERY","Y62","Q84","BANGOR STREET HEALTH","RESOURCE CENTRE","BANGOR STREET","BLACKBURN,LANCASHIRE","","19740401",,"A","B","00Q","20130401",,"01254 617440",,,,"0",,"00Q",,"4",,"BB1  6DY","199507",,"3687","4290","E99999999","324","E06000008","E05011509","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC05","LSFC05","1","00EXMB","E00063428","Q84","Y51","E01012580","5","E02002618","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368714","429098","E00063428","E01012580","E02002618","E56000018","E54000048","0101000020E6100000A9995F90D8CE03C098946308EFE04A40"
"BB1 6PH","Y05127","LOCAL PRIMARY CARE NORTH LOCALITY SPOKE","Y62","Q84","LITTLE HARWOOD HEALTH CTR","PLANE TREE ROAD","BLACKBURN","LANCASHIRE","","20150901",,"A","B","00Q","20150901",,"01254 617521",,,,"0",,"00Q",,"0",,"BB1  6PH","198001",,"3692","4292","E99999999","324","E06000008","E05011518","1","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFD14","LSFD14","1","00EXMJ","E00063549","Q84","Y51","E01012606","5","E02002617","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369291","429247","E00063549","E01012606","E02002617","E56000018","E54000048","0101000020E61000001DECD040F4BC03C068E5200B1CE14A40"
"BB1 6PH","P81005","LITTLE HARWOOD HEALTH CENTRE","Y62","Q84","LITTLE HARWOOD HEALTH CTR","PLANE TREE ROAD","LITTLE HARWOOD, BLACKBURN","LANCASHIRE","","19740401",,"A","B","00Q","20130401",,"01254 617521",,,,"0",,"00Q",,"4",,"BB1  6PH","198001",,"3692","4292","E99999999","324","E06000008","E05011518","1","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFD14","LSFD14","1","00EXMJ","E00063549","Q84","Y51","E01012606","5","E02002617","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369291","429247","E00063549","E01012606","E02002617","E56000018","E54000048","0101000020E61000001DECD040F4BC03C068E5200B1CE14A40"
"BB1 7EP","P81683","OLIVE MEDICAL CENTRE","Y62","Q84","OLIVE MEDICAL CENTRE","3 LIME STREET","BLACKBURN","LANCASHIRE","","19740401",,"A","B","00Q","20130401",,"01254 287070",,,,"0",,"00Q",,"4",,"BB1  7EP","198001",,"3681","4285","E99999999","324","E06000008","E05011522","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC12","LSFC12","1","00EXMT","E00063734","Q84","Y51","E01012644","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368170","428547","E00063734","E01012644","E02002620","E56000018","E54000048","0101000020E610000089947961A0DF03C0990FCAAC4BE04A40"
"BB1 9BA","P81155","BROWNHILL SURGERY","Y62","Q84","BROWNHILL SURGERY","788-790 WHALLEY NEW ROAD","BLACKBURN","LANCASHIRE","","19740401",,"A","B","00Q","20130401",,"01254 247477",,,,"0",,"00Q",,"4",,"BB1  9BA","198001",,"3685","4311","E99999999","324","E06000008","E05011521","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFD02","LSFD02","1","00EXMR","E00063697","Q84","Y51","E01012633","5","E02002615","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368508","431100","E00063697","E01012633","E02002615","E56000018","E54000048","0101000020E6100000F7506B16AAD503C068C4173B3CE34A40"
"BB1 9SR","Y04980","PRIMARY CARE DVT SERVICE","Y62","Q84","PRIMARY CARE DVT SERVICE","367 WHALLEY NEW ROAD","BLACKBURN","LANCASHIRE","","20150401",,"A","B","00Q","20150401",,"01254 618000",,,,"0",,"00Q",,"9",,"BB1  9SR","198001",,"3688","4299","E99999999","324","E06000008","E05011521","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFP09","LSFP09","1","00EXMJ","E00063557","Q84","Y51","E01012608","5","E02002615","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368857","429951","E00063557","E01012608","E02002615","E56000018","E54000048","0101000020E6100000AFA8F2C094CA03C077EDDA87EAE14A40"
"BB1 9SR","P81704","BLAKEWATER HEALTH CENTRE","Y62","Q84","BLAKEWATER HEALTH CARE","367 WHALLEY NEW ROAD","BLACKBURN","","","19740401",,"A","B","00Q","20130401",,"01254 618000",,,,"0",,"00Q",,"4",,"BB1  9SR","198001",,"3688","4299","E99999999","324","E06000008","E05011521","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFP09","LSFP09","1","00EXMJ","E00063557","Q84","Y51","E01012608","5","E02002615","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368857","429951","E00063557","E01012608","E02002615","E56000018","E54000048","0101000020E6100000AFA8F2C094CA03C077EDDA87EAE14A40"
"BB10 1LS","P81035","COLNE ROAD SURGERY","Y62","Q84","COLNE ROAD SURGERY","34-36 COLNE ROAD","BURNLEY","LANCASHIRE","","19740401",,"A","B","01A","20130401",,"01282 731490",,,,"0",,"01A",,"4",,"BB10 1LS","198001",,"3844","4339","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFH09","LUFH09","1","30UDGE","E00126266","Q84","Y51","E01024876","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384498","433905","E00126266","E01024876","E02005178","E56000018","E54000048","0101000020E6100000A7AA1F4E10E501C03138251A8EE64A40"
"BB10 2EZ","P81053","BRIERCLIFFE SURGERY","Y62","Q84","BRIERCLIFFE PRIM CARE CTR","BRIERCLIFFE ROAD","BURNLEY","","","19740401",,"A","B","01A","20130401",,"01282 648051",,,,"0",,"01A",,"4",,"BB10 2EZ","198001",,"3860","4349","E10000017","323","E07000117","E05005151","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFP06","LUFP06","1","30UDGA","E00126183","Q84","Y51","E01024861","5","E02005176","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","386081","434921","E00126183","E01024861","E02005176","E56000018","E54000048","0101000020E610000028CD959FEFB301C091FBAACEBAE74A40"
"BB10 2LW","Y02563","THE HOSPICE CARE FOR BURNLEY & PENDLE","Y62","Q84","PENDLESIDE, COLNE ROAD","REEDLEY","BURNLEY","","","20090101",,"A","B","01A","20130401",,"01282 440100",,,,"0",,"01A",,"13",,"BB10 2LW","198001",,"3844","4358","E10000017","323","E07000122","E05005264","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UJFP08","MAFP08","1","30UJFP","E00127975","Q84","Y51","E01025213","5","E02005252","N01","N51","Q13","5G8","Y42","E14000875","Y1701","5NH","384466","435887","E00127975","E01025213","E02005252","E56000018","E54000048","0101000020E61000008B69E0DA43E601C0B96C37CCD5E84A40"
"BB10 2PQ","Y03971","ELHT NMPS","Y62","Q84","PHARMACY DEPT","BURNLEY GENERAL HOSPITAL","BURNLEY","LANCASHIRE","","20130401",,"A","B","01A","20130401",,"01282 803441",,,,"0",,"01A",,"9",,"BB10 2PQ","198001",,"3850","4349","E10000017","323","E07000117","E05005160","1","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFS04","LUFS04","1","30UDGL","E00126359","Q84","Y51","E01024897","5","E02005177","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","385092","434928","E00126359","E01024897","E02005177","E56000018","E54000048","0101000020E61000006EE5CA21B2D201C067F4B2F6BBE74A40"
"BB10 2PQ","Y03966","ELHT NMPS","Y62","Q84","PHARMACY DEPT","BURNLEY GENERAL HOSPITAL","BURNLEY","LANCASHIRE","","20130401",,"A","B","00Q","20130401",,"01282 803441",,,,"0",,"00Q",,"9",,"BB10 2PQ","198001",,"3850","4349","E10000017","323","E07000117","E05005160","1","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFS04","LUFS04","1","30UDGL","E00126359","Q84","Y51","E01024897","5","E02005177","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","385092","434928","E00126359","E01024897","E02005177","E56000018","E54000048","0101000020E61000006EE5CA21B2D201C067F4B2F6BBE74A40"
"BB10 3BF","P81095","THURSBY SURGERY","Y62","Q84","THURSBY SURGERY","2 BROWHEAD ROAD","BURNLEY","LANCASHIRE","","19740401",,"A","B","01A","20130401",,"01282 644330",,,,"0",,"01A",,"4",,"BB10 3BF","199405",,"3848","4338","E10000017","323","E07000117","E05005150","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFN07","LUFN07","1","30UDFY","E00126171","Q84","Y51","E01024856","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384838","433843","E00126171","E01024856","E02005178","E56000018","E54000048","0101000020E6100000709B5D3C7CDA01C0037E482C7CE64A40"
"BB11 1PS","P81047","PARKSIDE SURGERY","Y62","Q84","PARKSIDE SURGERY","PRESTIGE PK, COLNE RD","BURNLEY","LANCASHIRE","","19740401",,"A","B","01A","20130401",,"01282 731444",,,,"0",,"01A",,"4",,"BB11 1PS","200808",,"3842","4332","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFE07","LUFE07","1","30UDFY","E00126261","Q84","Y51","E01024877","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384207","433214","E00126261","E01024877","E02005178","E56000018","E54000048","0101000020E61000005E803F010AEE01C0F7F9B84DC2E54A40"
"BB11 1RY","P81788","INSPIRE CGL","Y62","Q84","BURNLEY HOUSE","37-41 WESTGATE","BURNLEY","LANCASHIRE","","20011201",,"A","B","01A","20170601",,"01282 644644",,,,"0",,"NMS",,"8",,"BB11 1RY","198001",,"3834","4327","E10000017","323","E07000117","E05005163","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFE10","LUFE10","1","30UDFY","E00126429","Q84","Y51","E01024909","5","E02005185","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","383491","432731","E00126429","E01024909","E02005185","E56000018","E54000048","0101000020E610000035AE4BF93E0402C03CB0D65133E54A40"
"BB11 1RY","Y06541","INSPIRE SHARED CARE ELCCG","Y62","Q84","BURNLEY HOUSE","37-41 WESTGATE","BURNLEY","LANCASHIRE","","20191001",,"A","B","01A","20191001",,"01254 495382",,,,"1",,"01A",,"8",,"BB11 1RY","198001",,"3834","4327","E10000017","323","E07000117","E05005163","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFE10","LUFE10","1","30UDFY","E00126429","Q84","Y51","E01024909","5","E02005185","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","383491","432731","E00126429","E01024909","E02005185","E56000018","E54000048","0101000020E610000035AE4BF93E0402C03CB0D65133E54A40"
"BB11 2DL","Y04972","BURNLEY LOCALITY NMPS","Y62","Q84","STNICHOLAS GROUP PRACTICE","ST PETERS CENTRE","BURNLEY","","","20150401",,"A","B","01A","20150401",,"01282 644222",,,,"0",,"01A",,"9",,"BB11 2DL","198001",,"3843","4328","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFE07","LUFE07","1","30UDFY","E00126261","Q84","Y51","E01024877","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384356","432804","E00126261","E01024877","E02005178","E56000018","E54000048","0101000020E61000009C4B7B1F5DE901C0254275B349E54A40"
"BB11 2DL","P81215","ROSEHILL SURGERY","Y62","Q84","ROSEHILL SURGERY 2ND FL","ST PETERS CTR CHURCH ST","BURNLEY","LANCASHIRE","","19910701","20190731","C","B","01A","20130401","20190731","01282 644160",,,,"0",,"01A",,"4",,"BB11 2DL","198001",,"3843","4328","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFE07","LUFE07","1","30UDFY","E00126261","Q84","Y51","E01024877","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384356","432804","E00126261","E01024877","E02005178","E56000018","E54000048","0101000020E61000009C4B7B1F5DE901C0254275B349E54A40"
