"postcode","organisation_code","name","national_grouping","high_level_health_geography","address_line_1","address_line_2","address_line_3","address_line_4","address_line_5","open_date","close_date","status_code","organisation_sub_type_code","parent_organisation_code","join_parent_date","left_parent_date","contact_telephone_number","null_1","null_2","null_3","amended_record_indicator","null_4","current_care_organisation","null_5","null_6","null_7","pcd2","dointr","doterm","oseast100m","osnrth100m","oscty","odslaua","oslaua","osward","usertype","osgrdind","ctry","oshlthau","rgn","oldha","nhser","ccg","psed","cened","edind","ward98","oa01","nhsrlo","hro","lsoa01","ur01ind","msoa01","cannet","scn","oshaprev","oldpct","oldhro","pcon","canreg","pct","oseast1m","osnrth1m","oa11","lsoa11","msoa11","calncv","stp","geom"
"BB1 4LD","FAF01","COHENS CHEMIST","Y62","Q84","53-55 HIGH STREET","RISHTON","BLACKBURN","",,"19910301",,"A","1","P438","20040401",,"01254 884044",,,,"0",,"Q84",,,,"BB1  4LD","198001",,"3725","4302","E10000017","323","E07000120","E05005218","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UGFG03","LYFG03","1","30UGFG","E00127257","Q84","Y51","E01025073","6","E02005214","N01","N51","Q13","5G7","Y42","E14000758","Y1701","5NH","372585","430256","E00127257","E01025073","E02005214","E56000018","E54000048","0101000020E6100000DE914FA6D15603C09AF2AF3F4BE24A40"
"BB1 5AZ","FPX67","MORRISONS PHARMACY","Y62","Q84","MORRISONS STORE","RAILWAY ROAD","BLACKBURN","",,"20090401",,"A","1","P0L6","20090401",,"01254 262159",,,,"0",,"Q84",,,,"BB1  5AZ","199002",,"3684","4280","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE04","LSFE04","1","00EXMT","E00063733","Q84","Y51","E01012643","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368488","428074","E00063733","E01012643","E02002620","E56000018","E54000048","0101000020E6100000204895ABA6D503C02A1FEB01C1DF4A40"
"BB1 5AZ","FKH19","LLOYDSPHARMACY","Y51","Q31","MORRISONS STORE","RAILWAY ROAD","BLACKBURN","",,"19990901","20090331","C","1","P07F","20040401","20090331","01254 262159",,,,"0",,"5CC",,,,"BB1  5AZ","199002",,"3684","4280","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE04","LSFE04","1","00EXMT","E00063733","Q84","Y51","E01012643","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368488","428074","E00063733","E01012643","E02002620","E56000018","E54000048","0101000020E6100000204895ABA6D503C02A1FEB01C1DF4A40"
"BB1 5DG","FXF62","GELOO BROTHERS LTD","Y62","Q84","CLEAVER STREET","BLACKBURN","","",,"19850901",,"A","1","P16G","20040401",,"01254 582144",,,,"0",,"Q84",,,,"BB1  5DG","199501",,"3687","4283","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE04","LSFE04","1","00EXMT","E00063733","Q84","Y51","E01012643","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368781","428337","E00063733","E01012643","E02002620","E56000018","E54000048","0101000020E6100000583561549BCC03C0E98E150B0FE04A40"
"BB1 5PA","FDW31","COHENS CHEMIST","Y62","Q84","101 PLANE TREE ROAD","BLACKBURN","","",,"20060201",,"A","1","P438","20190313",,"01254 52361",,,,"0",,"Q84",,,,"BB1  5PA","198001",,"3693","4292","E99999999","324","E06000008","E05011518","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFD14","LSFD14","1","00EXMJ","E00063549","Q84","Y51","E01012606","5","E02002617","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369313","429253","E00063549","E01012606","E02002617","E56000018","E54000048","0101000020E6100000D20EEB9F45BC03C0EC4C68DA1DE14A40"
"BB1 5PQ","FGR33","LITTLE HARWOOD PHARMACY","Y42","Q13","149 WHALLEY OLD ROAD","LITTLE HARWOOD","BLACKBURN","",,"19890401","20060131","C","1","P93H","20040401","20060201","01254 52361",,,,"0",,"5CC",,,,"BB1  5PQ","198001",,"3693","4293","E99999999","324","E06000008","E05011518","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFD14","LSFD14","1","00EXMJ","E00063547","Q84","Y51","E01012605","5","E02002617","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369376","429366","E00063547","E01012605","E02002617","E56000018","E54000048","0101000020E6100000D9E3EE8C56BA03C027F52E413FE14A40"
"BB1 6AF","FMJ74","ASTLEYS","Y51","Q31","MINI SHOP B","MARKET HALL","BLACKBURN","",,"19940704","20071031","C","2","",,,"",,,,"0",,"5CC",,,,"BB1  6AF","198001",,"3684","4283","E99999999","324","E06000008","E05011511","1","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC11","LSFC11","1","00EXMT","E00063733","Q84","Y51","E01012643","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368458","428382","E00063733","E01012643","E02002620","E56000018","E54000048","0101000020E6100000EF5D7BB6A5D603C0F72A1EA81BE04A40"
"BB1 6DX","FRD36","WHALLEY RANGE PHARMACY","Y62","Q84","1 WHALLEY RANGE","BLACKBURN","LANCASHIRE","",,"20061222",,"A","1","P0VG","20061222",,"01254 54988",,,,"0",,"Q84",,,,"BB1  6DX","198001",,"3684","4287","E99999999","324","E06000008","E05011522","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC08","LSFC08","1","00EXMT","E00063727","Q84","Y51","E01012643","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368448","428709","E00063727","E01012643","E02002620","E56000018","E54000048","0101000020E61000006BD1ABCA06D703C0E458FAF07BE04A40"
"BB1 6EA","FEF87","WHALLEY RANGE COHENS","Y62","Q84","63 WHALLEY RANGE","BLACKBURN","","",,"19900823",,"A","1","P438","20040401",,"01254 665941",,,,"0",,"Q84",,,,"BB1  6EA","198001",,"3685","4288","E99999999","324","E06000008","E05011509","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC06","LSFC06","1","00EXMB","E00063432","Q84","Y51","E01012580","5","E02002618","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368514","428807","E00063432","E01012580","E02002618","E56000018","E54000048","0101000020E610000095528448FFD403C021303AEF98E04A40"
"BB1 6JY","FCX68","BASTWELL PHARMACY","Y62","Q84","75 WHALLEY NEW ROAD","BLACKBURN","LANCASHIRE","",,"19480101",,"A","1","P39J","20040401",,"01254 54461",,,,"0",,"Q84",,,,"BB1  6JY","198001",,"3689","4290","E99999999","324","E06000008","E05011509","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC06","LSFC06","1","00EXMB","E00063431","Q84","Y51","E01012578","5","E02002617","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368960","429096","E00063431","E01012578","E02002617","E56000018","E54000048","0101000020E610000023DECD5934C703C03CB874EDEEE04A40"
"BB1 6LR","FM872","DRUGMART","Y54","Q47","69 PLANE STREET","BLACKBURN","LANCASHIRE","",,"20070402","20131011","C","1","P0X8","20070402","20131011","01254 663315",,,,"0",,"Q47",,,,"BB1  6LR","198001",,"3691","4291","E99999999","324","E06000008","E05011509","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFP14","LSFP14","1","00EXMB","E00063427","Q84","Y51","E01012578","5","E02002617","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369113","429163","E00063427","E01012578","E02002617","E56000018","E54000048","0101000020E61000009012034677C203C003F66BF502E14A40"
"BB1 6NL","FM641","CHEMIST 2 CUSTOMER.COM","Y62","Q84","288 WHALLEY RANGE","BLACKBURN","LANCASHIRE","",,"20100420",,"A","1","P2X8","20100420",,"01254 680009",,,,"0",,"Q84",,,,"BB1  6NL","198001",,"3687","4290","E99999999","324","E06000008","E05011509","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC06","LSFC06","1","00EXMB","E00063428","Q84","Y51","E01012580","5","E02002618","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368723","429011","E00063428","E01012580","E02002618","E56000018","E54000048","0101000020E610000037A6D35C8CCE03C0591BA16DD5E04A40"
"BB1 7JD","FMJ56","SUPERDRUG PHARMACY","Y62","Q84","3,5 & 7 STONYBUTTS","BLACKBURN SHOPPING CENTRE","BLACKBURN","",,"19960801",,"A","1","P31F","20040401",,"01254 674909",,,,"0",,"Q84",,,,"BB1  7JD","198001",,"3682","4281","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC11","LSFC11","1","00EXMT","E00063735","Q84","Y51","E01012644","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368221","428123","E00063735","E01012644","E02002620","E56000018","E54000048","0101000020E61000008C9548F2F3DD03C0FB3CC9E7CEDF4A40"
"BB1 7JJ","FVD14","BOOTS UK LIMITED","Y62","Q84","2 COBDEN COURT","BLACKBURN","LANCASHIRE","",,"19480101",,"A","1","P08F","20040401",,"01254 580115",,,,"0",,"Q84",,,,"BB1  7JJ","198001",,"3682","4282","E99999999","324","E06000008","E05011511","1","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC11","LSFC11","1","00EXMT","E00063735","Q84","Y51","E01012644","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368294","428235","E00063735","E01012644","E02002620","E56000018","E54000048","0101000020E6100000303021A5B5DB03C0F6096109F0DF4A40"
"BB1 7LG","FWT27","RIAZ PHARMACY","Y62","Q84","112 RANDAL STREET","BLACKBURN","LANCASHIRE","",,"20130422",,"A","1","P1N6","20130422",,"01254 674000",,,,"0",,"Q84",,,,"BB1  7LG","198001",,"3683","4286","E99999999","324","E06000008","E05011522","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFC10","LSFC10","1","00EXMT","E00063731","Q84","Y51","E01012643","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368373","428615","E00063731","E01012643","E02002620","E56000018","E54000048","0101000020E6100000BE7F170D56D903C0DEC3A31B60E04A40"
"BB1 8AZ","FPM03","AKHTARS PHARMACY","Y62","Q84","38 SHEAR BANK ROAD","BLACKBURN","LANCASHIRE","",,"20151006",,"A","1","P3X3","20151006",,"01254 278515",,,,"0",,"Q84",,,,"BB1  8AZ","198001",,"3676","4289","E99999999","324","E06000008","E05011522","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFR13","LSFR13","1","00EXMT","E00063740","Q84","Y51","E01012645","5","E02002618","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","367675","428967","E00063740","E01012645","E02002618","E56000018","E54000048","0101000020E61000005ACDCC1917EF03C0B1BAE45DC6E04A40"
"BB1 8DZ","FER34","LLOYDSPHARMACY","Y51","Q31","174 SHEAR BROW","BLACKBURN","","",,"20060101","20090420","C","1","P07F","20060101","20090420","01254 51384",,,,"0",,"5CC",,,,"BB1  8DZ","198001",,"3679","4291","E99999999","324","E06000008","E05011522","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFR12","LSFR12","1","00EXMT","E00063738","Q84","Y51","E01012645","5","E02002618","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","367940","429162","E00063738","E01012645","E02002618","E56000018","E54000048","0101000020E6100000170B54A1E6E603C0F281925500E14A40"
"BB1 8DZ","FL762","COHENS CHEMIST","Y42","Q13","174 SHEAR BROW","BLACKBURN","","",,"19960901","20051231","C","1","P438","20040401","20060101","01254 51384",,,,"0",,"5CC",,,,"BB1  8DZ","198001",,"3679","4291","E99999999","324","E06000008","E05011522","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFR12","LSFR12","1","00EXMT","E00063738","Q84","Y51","E01012645","5","E02002618","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","367940","429162","E00063738","E01012645","E02002618","E56000018","E54000048","0101000020E6100000170B54A1E6E603C0F281925500E14A40"
"BB1 8DZ","FLA56","MANOR PHARMACY","Y51","Q31","174 SHEAR BROW","BLACKBURN","","",,"20081001","20090911","C","1","P19L","20081001","20090911","01254 51384",,,,"0",,"5CC",,,,"BB1  8DZ","198001",,"3679","4291","E99999999","324","E06000008","E05011522","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFR12","LSFR12","1","00EXMT","E00063738","Q84","Y51","E01012645","5","E02002618","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","367940","429162","E00063738","E01012645","E02002618","E56000018","E54000048","0101000020E6100000170B54A1E6E603C0F281925500E14A40"
"BB1 8DZ","FCC69","MANOR PHARMACY","Y62","Q84","174 SHEAR BROW","BLACKBURN","","",,"20090421",,"A","1","P19L","20090421",,"01254 51384",,,,"0",,"Q84",,,,"BB1  8DZ","198001",,"3679","4291","E99999999","324","E06000008","E05011522","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFR12","LSFR12","1","00EXMT","E00063738","Q84","Y51","E01012645","5","E02002618","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","367940","429162","E00063738","E01012645","E02002618","E56000018","E54000048","0101000020E6100000170B54A1E6E603C0F281925500E14A40"
"BB1 9BA","FN819","BROWNHILL PHARMACY","Y62","Q84","782 WHALLEY NEW ROAD","BLACKBURN","","",,"19900730",,"A","1","P16G","20040401",,"",,,,"0",,"Q84",,,,"BB1  9BA","198001",,"3685","4311","E99999999","324","E06000008","E05011521","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFD02","LSFD02","1","00EXMR","E00063697","Q84","Y51","E01012633","5","E02002615","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368508","431100","E00063697","E01012633","E02002615","E56000018","E54000048","0101000020E6100000F7506B16AAD503C068C4173B3CE34A40"
"BB1 9SL","FVV61","ROE LEE PHARMACY","Y42","Q13","450 WHALLEY NEW ROAD","BLACKBURN","","",,"19890401","20060131","C","1","P93H","20040401","20060201","01254 51495",,,,"0",,"5CC",,,,"BB1  9SL","198001",,"3687","4302","E99999999","324","E06000008","E05011521","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFD11","LSFD11","1","00EXMJ","E00063555","Q84","Y51","E01012608","5","E02002615","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368722","430286","E00063555","E01012608","E02002615","E56000018","E54000048","0101000020E610000089745D49D8CE03C09512D4EC4CE24A40"
"BB1 9SP","FD291","COHENS CHEMIST","Y62","Q84","371 WHALLEY NEW ROAD","BLACKBURN","","",,"20060201",,"A","1","P438","20190313",,"01254 51495",,,,"0",,"Q84",,,,"BB1  9SP","198001",,"3687","4302","E99999999","324","E06000008","E05011521","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFP09","LSFP09","1","00EXMJ","E00063555","Q84","Y51","E01012608","5","E02002615","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368725","430208","E00063555","E01012608","E02002615","E56000018","E54000048","0101000020E6100000138A2C44BCCE03C013B898F535E24A40"
"BB10 1LG","FTM07","COHENS CHEMIST","Y42","Q13","60 COLNE ROAD","BURNLEY","LANCASHIRE","",,"19960429","20051130","C","1","P438","20040401","20051201","01282 423526",,,,"0",,"5G8",,,,"BB10 1LG","198001",,"3843","4336","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFH11","LUFH11","1","30UDGE","E00126273","Q84","Y51","E01024876","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384373","433614","E00126273","E01024876","E02005178","E56000018","E54000048","0101000020E610000008BF5887EBE801C03AEB614638E64A40"
"BB10 1LG","FLF27","BURNLEY LATE NIGHT PHARMACY","Y62","Q84","36B COLNE ROAD","BURNLEY","LANCASHIRE","",,"20101213",,"A","1","P3FR","20101213",,"01282 421421",,,,"0",,"Q84",,,,"BB10 1LG","198001",,"3843","4336","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFH11","LUFH11","1","30UDGE","E00126273","Q84","Y51","E01024876","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384373","433614","E00126273","E01024876","E02005178","E56000018","E54000048","0101000020E610000008BF5887EBE801C03AEB614638E64A40"
"BB10 1LG","FXN00","COLNE ROAD PHARMACY","Y62","Q84","60 COLNE ROAD","BURNLEY","LANCASHIRE","",,"20120301",,"A","1","P1E0","20120301",,"01282 423526",,,,"0",,"Q84",,,,"BB10 1LG","198001",,"3843","4336","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFH11","LUFH11","1","30UDGE","E00126273","Q84","Y51","E01024876","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384373","433614","E00126273","E01024876","E02005178","E56000018","E54000048","0101000020E610000008BF5887EBE801C03AEB614638E64A40"
"BB10 1LG","FTT93","LLOYDSPHARMACY","Y51","Q31","60 COLNE ROAD","BURNLEY","LANCASHIRE","",,"20051201","20120229","C","1","P07F","20051201","20120229","01282 423526",,,,"0",,"5NH",,,,"BB10 1LG","198001",,"3843","4336","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFH11","LUFH11","1","30UDGE","E00126273","Q84","Y51","E01024876","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384373","433614","E00126273","E01024876","E02005178","E56000018","E54000048","0101000020E610000008BF5887EBE801C03AEB614638E64A40"
"BB10 1QR","FE273","PEAK PHARMACY","Y51","Q31","36 ABEL STREET","BURNLEY","LANCASHIRE","",,"20100401","20100519","C","1","P15J","20100401","20100519","01282 423722",,,,"0",,"5NH",,,,"BB10 1QR","199812",,"3842","4338","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFH10","LUFH10","1","30UDGE","E00126268","Q84","Y51","E01024876","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384282","433806","E00126268","E01024876","E02005178","E56000018","E54000048","0101000020E6100000949C5208C5EB01C039A734BB70E64A40"
"BB10 1QR","FY454","PEAK PHARMACY","Y62","Q84","36 ABEL STREET","BURNLEY","LANCASHIRE","",,"19930701",,"A","1","P15J","20190213",,"01282 423722",,,,"0",,"Q84",,,,"BB10 1QR","199812",,"3842","4338","E10000017","323","E07000117","E05005155","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFH10","LUFH10","1","30UDGE","E00126268","Q84","Y51","E01024876","5","E02005178","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","384282","433806","E00126268","E01024876","E02005178","E56000018","E54000048","0101000020E6100000949C5208C5EB01C039A734BB70E64A40"
"BB10 2HJ","FQ161","VILLAGE PHARMACY","Y62","Q84","144B BURNLEY ROAD","HARLE SYKE","BRIERCLIFFE,BURNLEY","LANCASHIRE",,"19980330",,"A","1","P16G","20040401",,"01282 422015",,,,"0",,"Q84",,,,"BB10 2HJ","198001",,"3865","4350","E10000017","323","E07000117","E05005151","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFB03","LUFB03","1","30UDGA","E00126195","Q84","Y51","E01024859","5","E02005176","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","386513","435039","E00126195","E01024859","E02005176","E56000018","E54000048","0101000020E61000007140C5CE82A601C0EED8A4EFDDE74A40"
"BB10 2NZ","FR451","ROWLANDS PHARMACY","Y62","Q84","198 BRIERCLIFFE ROAD","","BURNLEY","LANCASHIRE",,"20060601",,"A","1","P79D","20060601",,"01282 453568",,,,"0",,"Q84",,,,"BB10 2NZ","198001",,"3854","4348","E10000017","323","E07000117","E05005159","0","1","E92000001","Q31","E12000002","QCX","Y62","01A","30UDFP11","LUFP11","1","30UDGJ","E00126340","Q84","Y51","E01024892","5","E02005176","N01","N51","Q13","5G8","Y42","E14000609","Y1701","5NH","385463","434857","E00126340","E01024892","E02005176","E56000018","E54000048","0101000020E6100000D51D137D26C701C013516266A7E74A40"
